5148,7428,3876,8164=3876,5148,7428,8164$
9525,5353,1584,6289=1584,5353,6289,9525$
5856,7661,4739,2244=2244,4739,5856,7661$
3930,8603,2255,5134=2255,3930,5134,8603$
3512,8480,7425,4539=3512,4539,7425,8480$
1992,7618,8443,4426=1992,4426,7618,8443$
7861,9464,8705,4107=4107,7861,8705,9464$
5812,3281,4902,6956=3281,4902,5812,6956$
5988,1006,6732,2125=1006,2125,5988,6732$
4010,5238,9858,8537=4010,5238,8537,9858$
7276,2408,6315,8319=2408,6315,7276,8319$
2401,9416,1340,7547=1340,2401,7547,9416$
2871,9807,5611,1921=1921,2871,5611,9807$
6444,3291,9609,5408=3291,5408,6444,9609$
6604,8586,2993,5945=2993,5945,6604,8586$
6634,8656,7631,9715=6634,7631,8656,9715$
4603,5375,1894,6760=1894,4603,5375,6760$
8042,7378,6465,5878=5878,6465,7378,8042$
6890,2040,9800,3656=2040,3656,6890,9800$
9100,2985,3338,6536=2985,3338,6536,9100$
7504,2683,3012,4621=2683,3012,4621,7504$
8454,4394,5893,9007=4394,5893,8454,9007$
6539,5783,3437,4041=3437,4041,5783,6539$
5502,2793,3204,6821=2793,3204,5502,6821$
7057,3528,2059,4353=2059,3528,4353,7057$
9803,8354,1106,3636=1106,3636,8354,9803$
4209,1620,7459,2948=1620,2948,4209,7459$
4726,7952,2320,3452=2320,3452,4726,7952$
9777,8364,6774,3394=3394,6774,8364,9777$
2124,6002,5698,7830=2124,5698,6002,7830$
8608,2940,7953,9505=2940,7953,8608,9505$
3097,5561,7836,2457=2457,3097,5561,7836$
4245,2470,8384,6091=2470,4245,6091,8384$
1816,7415,8232,3276=1816,3276,7415,8232$
9939,2866,8943,4314=2866,4314,8943,9939$
6376,9130,4760,8045=4760,6376,8045,9130$
1266,4700,8382,2752=1266,2752,4700,8382$
2139,6395,8086,3934=2139,3934,6395,8086$
5625,2489,1576,7826=1576,2489,5625,7826$
5081,3403,9237,7901=3403,5081,7901,9237$
7574,8346,6474,4368=4368,6474,7574,8346$
7105,6164,1690,2384=1690,2384,6164,7105$
1951,9332,8893,6295=1951,6295,8893,9332$
9980,2544,1683,7607=1683,2544,7607,9980$
4516,2987,5104,9894=2987,4516,5104,9894$
7299,2352,1020,3868=1020,2352,3868,7299$
4155,5629,1410,8377=1410,4155,5629,8377$
8053,2135,5210,6802=2135,5210,6802,8053$
5962,2713,8861,9022=2713,5962,8861,9022$
8037,9269,5391,3085=3085,5391,8037,9269$
