6696,6556,6983,6081=6081,6556,6696,6983$
4208,4568,4076,4911=4076,4208,4568,4911$
8487,8929,8003,8145=8003,8145,8487,8929$
7673,7995,7290,7596=7290,7596,7673,7995$
7567,7369,7791,7426=7369,7426,7567,7791$
5500,5324,5156,5771=5156,5324,5500,5771$
2873,2497,2692,2960=2497,2692,2873,2960$
2412,2079,2324,2927=2079,2324,2412,2927$
3954,3177,3034,3618=3034,3177,3618,3954$
6601,6785,6547,6265=6265,6547,6601,6785$
1506,1429,1145,1755=1145,1429,1506,1755$
4599,4037,4782,4652=4037,4599,4652,4782$
6528,6118,6832,6755=6118,6528,6755,6832$
3541,3214,3612,3859=3214,3541,3612,3859$
9770,9309,9151,9089=9089,9151,9309,9770$
4544,4061,4815,4909=4061,4544,4815,4909$
1917,1344,1627,1063=1063,1344,1627,1917$
1997,1289,1184,1523=1184,1289,1523,1997$
2438,2853,2908,2110=2110,2438,2853,2908$
6765,6001,6317,6818=6001,6317,6765,6818$
7979,7533,7154,7874=7154,7533,7874,7979$
2408,2992,2622,2247=2247,2408,2622,2992$
7421,7812,7042,7958=7042,7421,7812,7958$
1768,1044,1838,1332=1044,1332,1768,1838$
7094,7847,7793,7394=7094,7394,7793,7847$
6327,6026,6836,6931=6026,6327,6836,6931$
5774,5045,5312,5811=5045,5312,5774,5811$
8948,8719,8577,8661=8577,8661,8719,8948$
6234,6086,6548,6416=6086,6234,6416,6548$
7212,7676,7170,7094=7094,7170,7212,7676$
8681,8110,8863,8467=8110,8467,8681,8863$
7389,7688,7883,7774=7389,7688,7774,7883$
2357,2880,2707,2686=2357,2686,2707,2880$
4083,4610,4704,4136=4083,4136,4610,4704$
3769,3427,3166,3601=3166,3427,3601,3769$
4626,4984,4576,4245=4245,4576,4626,4984$
9309,9666,9247,9739=9247,9309,9666,9739$
8253,8035,8555,8158=8035,8158,8253,8555$
3692,3720,3906,3437=3437,3692,3720,3906$
6023,6235,6954,6872=6023,6235,6872,6954$
7752,7560,7634,7084=7084,7560,7634,7752$
9979,9831,9496,9699=9496,9699,9831,9979$
8027,8202,8462,8369=8027,8202,8369,8462$
4731,4613,4213,4124=4124,4213,4613,4731$
9467,9738,9053,9963=9053,9467,9738,9963$
2811,2553,2636,2936=2553,2636,2811,2936$
7856,7620,7412,7593=7412,7593,7620,7856$
1280,1015,1512,1304=1015,1280,1304,1512$
5499,5199,5246,5500=5199,5246,5499,5500$
2326,2982,2211,2586=2211,2326,2586,2982$
9914,9058,9603,9895=9058,9603,9895,9914$
